Date,Inlet flow,Inlet pressure,Inlet temp,Comp speed,HPS Outlet Flow,Outlet Pressure,Outlet Temp,Governor valve V1,Governor valve V2
6/2/2019 3:30,257.0560426,82.60844873,473.3212716,4379.102049,155.6225404,41.54784616,398.88674,65.57757408,87.6407061
6/2/2019 3:35,257.2091167,82.669741,473.2201242,4378.713884,156.3818297,41.54367536,398.7248627,65.60772207,87.09860926
6/2/2019 3:40,258.4483306,82.68320336,473.125906,4378.26543,157.4803062,41.49296074,398.5739894,65.76500274,86.7797817
6/2/2019 3:45,258.620695,82.59826149,473.0727045,4378.862417,156.3697269,41.42722764,398.4483169,65.65658554,87.38367002
6/2/2019 3:50,256.7757727,82.59408534,473.2173973,4378.144331,155.118026,41.37933062,398.2633088,65.42456164,88.39592855
6/2/2019 3:55,254.3516456,82.72315992,473.3881714,4379.774778,153.4203786,41.38543337,397.908466,65.56981025,88.46843934
6/2/2019 4:00,257.4845502,82.60567713,473.4290774,4378.313781,155.571311,41.57360467,398.8625031,65.5371459,88.26248327
6/2/2019 4:05,256.7170647,82.61743417,473.3389165,4379.035438,154.5991608,41.57143979,398.8495971,65.42001552,88.23191021
6/2/2019 4:10,257.4552381,82.74732167,473.2553455,4378.820146,156.2077811,41.63419718,398.8718486,65.70980515,87.53793382
6/2/2019 4:15,260.2626364,82.76194218,473.0471993,4378.042756,158.587992,41.55193207,398.7426144,66.1941253,87.79106965
6/2/2019 4:20,260.8915728,82.66506322,472.8682332,4378.377695,158.8212092,41.47406175,398.484595,66.40809984,87.95035462
6/2/2019 4:25,260.9288328,82.49736369,472.9072332,4381.830903,157.7354018,41.41372975,398.4351712,66.0338959,88.81828878
6/2/2019 4:30,259.0221878,82.48954122,473.1399749,4380.450394,155.1843309,41.21988818,397.961157,65.40106284,89.39075024
6/2/2019 4:35,256.5480773,82.69027383,473.4283629,4377.454128,153.1524482,41.50491521,398.1213909,65.38676445,87.53694434
6/2/2019 4:40,257.9347766,82.67492692,473.5868329,4377.822572,154.3646891,41.73097528,399.1925212,65.59057684,86.81166569
6/2/2019 4:45,258.1666622,82.57479023,473.537222,4377.086491,155.5573293,41.52333209,399.1096149,65.37988373,87.82814285
6/2/2019 4:50,257.4593984,82.6656261,473.4069358,4378.157976,154.9067736,41.30885002,398.1797149,65.33477861,88.2878991
6/2/2019 4:55,259.0366407,82.72982254,473.352453,4377.820149,156.3684096,41.53924948,398.5517307,65.69821806,87.17791917
6/2/2019 5:00,261.0335405,82.64354789,473.2426531,4378.233568,156.9904707,41.65312772,399.1409467,65.82775305,86.98424115
6/2/2019 5:05,260.6744746,82.56865745,473.1189427,4378.149632,156.5816782,41.47258603,398.6988793,65.60192996,87.73727155
6/2/2019 5:10,259.7197948,82.59678637,473.1501771,4377.933594,155.5940132,41.43033236,398.3454197,65.40751423,87.89478386
6/2/2019 5:15,257.9155463,82.65804083,473.3247018,4377.491309,154.0654565,41.44456889,398.2283949,65.37989884,88.2797575
6/2/2019 5:20,257.790186,82.70335836,473.478715,4377.933594,154.4061451,41.49573775,398.370599,65.59014026,87.98498991
6/2/2019 5:25,259.9830395,82.66962672,473.5015866,4377.491113,156.7394562,41.58001945,399.0145031,65.732544,86.78908427
6/2/2019 5:30,260.4185112,82.67303618,473.387243,4377.607769,157.2641595,41.62423172,399.1944233,65.82956217,86.73963894
6/2/2019 5:35,259.1008261,82.64073089,473.2049559,4378.663477,157.5653852,41.52900877,398.9162296,65.89842104,87.14149418
6/2/2019 5:40,258.0785773,82.59646919,473.0579096,4377.861601,156.7418316,41.41835834,398.5603661,65.74759466,88.50037669
6/2/2019 5:45,256.8501108,82.56894852,473.0751813,4378.966741,155.8662252,41.32779534,398.10361,65.47534796,90.40452845
6/2/2019 5:50,255.4476708,82.67871423,473.2919387,4382.905439,153.6415671,41.43480499,398.0813301,65.5070007,89.88573907
6/2/2019 5:55,256.4440378,82.66685639,473.4754008,4381.363763,154.5975693,41.62165298,398.7847714,65.62667324,88.5517399
6/2/2019 6:00,256.4889005,82.57596879,473.4741421,4379.9279,154.6611223,41.55310233,399.0068614,65.51266424,88.96711757
6/2/2019 6:05,256.3260733,82.67350228,473.4233521,4379.926105,155.2684028,41.43182846,398.5312498,65.51005232,88.51931531
6/2/2019 6:10,257.714059,82.72710604,473.4221097,4380.30018,156.870574,41.4279482,398.4598799,65.80941436,88.25118561
6/2/2019 6:15,258.3021642,82.69797722,473.3237754,4380.102376,156.632447,41.68082328,399.1086301,66.08165606,87.68385181
6/2/2019 6:20,258.4585723,82.59386397,473.2422535,4379.914826,156.9058432,41.59005198,399.1508092,66.02941125,88.33413484
6/2/2019 6:25,256.910852,82.50280942,473.1673175,4378.823691,155.77967,41.30200208,398.3058224,65.56438731,89.44982797
6/2/2019 6:30,254.8127812,82.61515521,473.2423286,4380.261611,153.335439,41.28366589,397.7181037,65.34626396,91.10588444
6/2/2019 6:35,255.2278148,82.68024654,473.3918484,4380.697275,153.766572,41.50639081,398.2510336,65.46277118,89.35038664
